stadium_name,team_name
TD Garden,Boston Celtics
Barclays Center,Brooklyn Nets
Madison Square Garden,New York Knicks
Wells Fargo Center,Philadelphia 76ers
Scotiabank Arena,Toronto Raptors
United Center,Chicago Bulls
Rocket Mortgage FieldHouse,Cleveland Cavaliers
Little Caesars Arena,Detroit Pistons
Bankers Life Fieldhouse,Indiana Pacers
Fiserv Forum,Milwaukee Bucks
State Farm Arena,Atlanta Hawks
Spectrum Center,Charlotte Hornets
American Airlines Arena,Miami Heat
Amway Center,Orlando Magic
Capital One Arena,Washington Wizards
Pepsi Center,Denver Nuggets
Target Center,Minnesota Timberwolves
Chesapeake Energy Arena,Oklahoma City Thunder
Moda Center,Portland Trail Blazers
Vivint Smart Home Arena,Utah Jazz
Chase Center,Golden State Warriors
Staples Center,Los Angeles Clippers
Staples Center,Los Angeles Lakers
Talking Stick Resort Arena,Phoenix Suns
Golden 1 Center,Sacramento Kings
American Airlines Center,Dallas Mavericks
Toyota Center,Houston Rockets
FedExForum,Memphis Grizzlies
Smoothie King Center,New Orleans Pelicans
AT&T Center,San Antonio Spurs
