stadium_name,size,stadium_location
TD Garden,18624,Boston
Barclays Center,17732,New York City
Madison Square Garden,19812,New York City
Wells Fargo Center,21600,Philadelphia
Scotiabank Arena,19800,Toronto
United Center,20917,Chicago
Rocket Mortgage FieldHouse,20562,Cleveland
Little Caesars Arena,20491,Detroit
Bankers Life Fieldhouse,17923,Indianapolis
Fiserv Forum,18717,Milwaukee
State Farm Arena,15711,Atlanta
Spectrum Center,19077,Charlotte
American Airlines Arena,19600,Miami
Amway Center,18846,Orlando
Capital One Arena,20356,Washington
Pepsi Center,19520,Denver
Target Center,19356,Minneapolis
Chesapeake Energy Arena,18203,Oklahoma City
Moda Center,19441,Portland
Vivint Smart Home Arena,19911,Salt Lake City
Chase Center,19596,San Francisco
Staples Center,19060,Los Angeles
Staples Center,18997,Los Angeles
Talking Stick Resort Arena,18055,Phoenix
Golden 1 Center,17500,Sacramento
American Airlines Center,19200,Dallas
Toyota Center,18055,Houston
FedExForum,18119,Memphis
Smoothie King Center,16867,New Orleans
AT&T Center,18418,San Antonio
