,game_id,game_date,stadium_name,home_team_name,away_team_name,winner,final_margin,SHOT_NUMBER,quarter,time_clock,shot_distance,defender_distance,shot_result,defender_name,defender_id,player_name,shooter_id
0,21400899,4-Mar,Barclays Center,Brooklyn Nets,Charlotte Hornets,away,24,1,1,10.8,2.35,0.4,TRUE,Alan Anderson,#N/A,Brian Roberts,23360
1,21400899,4-Mar,Barclays Center,Brooklyn Nets,Charlotte Hornets,away,24,2,1,3.4,8.6,1.86,FALSE,Bojan Bogdanovic,#N/A,Brian Roberts,23360
2,21400899,4-Mar,Barclays Center,Brooklyn Nets,Charlotte Hornets,away,24,3,1,0,3.08,0.27,FALSE,Bojan Bogdanovic,#N/A,Brian Roberts,23360
3,21400899,4-Mar,Barclays Center,Brooklyn Nets,Charlotte Hornets,away,24,4,2,10.3,5.24,1.04,FALSE,Markel Brown,#N/A,Brian Roberts,23360
4,21400899,4-Mar,Barclays Center,Brooklyn Nets,Charlotte Hornets,away,24,5,2,10.9,1.13,0.34,FALSE,Thaddeus Young,23512,Brian Roberts,23360
5,21400899,4-Mar,Barclays Center,Brooklyn Nets,Charlotte Hornets,away,24,6,2,9.1,5.61,0.79,FALSE,Deron Williams,#N/A,Brian Roberts,23360
6,21400899,4-Mar,Barclays Center,Brooklyn Nets,Charlotte Hornets,away,24,7,4,14.5,6.31,1.86,FALSE,Jarrett Jack,#N/A,Brian Roberts,23360
7,21400899,4-Mar,Barclays Center,Brooklyn Nets,Charlotte Hornets,away,24,8,4,3.4,1.07,0.64,TRUE,Mason Plumlee,#N/A,Brian Roberts,23360
8,21400899,4-Mar,Barclays Center,Brooklyn Nets,Charlotte Hornets,away,24,9,4,12.4,7.5,2.23,FALSE,Darius Morris,#N/A,Brian Roberts,23360
9,21400890,3-Mar,Spectrum Center,Charlotte Hornets,Los Angeles Lakers,home,1,1,2,17.4,6.83,6.04,FALSE,Wayne Ellington,23042,Brian Roberts,23360
10,21400890,3-Mar,Spectrum Center,Charlotte Hornets,Los Angeles Lakers,home,1,2,2,16,7.47,1.43,FALSE,Jeremy Lin,23216,Brian Roberts,23360
11,21400890,3-Mar,Spectrum Center,Charlotte Hornets,Los Angeles Lakers,home,1,3,4,12.1,4.45,0.55,TRUE,Jeremy Lin,23216,Brian Roberts,23360
12,21400890,3-Mar,Spectrum Center,Charlotte Hornets,Los Angeles Lakers,home,1,4,4,4.3,1.8,1.65,TRUE,Jordan Hill,23132,Brian Roberts,23360
13,21400882,1-Mar,Amway Center,Orlando Magic,Charlotte Hornets,away,15,1,4,4.4,8.05,1.34,FALSE,Willie Green,23102,Brian Roberts,23360
372,21400899,4-Mar,Barclays Center,Brooklyn Nets,Charlotte Hornets,away,24,1,3,22.8,0.82,1.31,TRUE,Thaddeus Young,23512,Bismack Biyombo,#N/A
373,21400890,3-Mar,Spectrum Center,Charlotte Hornets,Los Angeles Lakers,home,1,1,4,9.9,2.56,0.61,FALSE,Jeremy Lin,23216,Bismack Biyombo,#N/A
374,21400882,1-Mar,Amway Center,Orlando Magic,Charlotte Hornets,away,15,1,1,4,5.27,1.89,FALSE,Dewayne Dedmon,23019,Bismack Biyombo,#N/A
375,21400882,1-Mar,Amway Center,Orlando Magic,Charlotte Hornets,away,15,2,2,8.2,0.98,0.43,TRUE,Maurice Harkless,23115,Bismack Biyombo,#N/A
