team_name,found_year,city, state
Boston Celtics,1946,Boston, Massachusetts
Brooklyn Nets,1967,New York City, New York
New York Knicks,1946,New York City, New York
Philadelphia 76ers,1946,Philadelphia, Pennsylvania
Toronto Raptors,1995,Toronto, Ontario
Chicago Bulls,1966,Chicago, Illinois
Cleveland Cavaliers,1970,Cleveland, Ohio
Detroit Pistons,1941,Detroit, Michigan
Indiana Pacers,1967,Indianapolis, Indiana
Milwaukee Bucks,1968,Milwaukee, Wisconsin
Atlanta Hawks,1946,Atlanta, Georgia
Charlotte Hornets,1988,Charlotte, North Carolina
Miami Heat,1988,Miami, Florida
Orlando Magic,1989,Orlando, Florida
Washington Wizards,1961,Washington, D.C.
Denver Nuggets,1967,Denver, Colorado
Minnesota Timberwolves,1989,Minneapolis, Minnesota
Oklahoma City Thunder,1967,Oklahoma City, Oklahoma
Portland Trail Blazers,1970,Portland, Oregon
Utah Jazz,1974,Salt Lake City, Utah
Golden State Warriors,1946,San Francisco, California
Los Angeles Clippers,1970,Los Angeles, California
Los Angeles Lakers,1947,Los Angeles, California
Phoenix Suns,1968,Phoenix, Arizona
Sacramento Kings,1923,Sacramento, California
Dallas Mavericks,1980,Dallas, Texas
Houston Rockets,1967,Houston, Texas
Memphis Grizzlies,1995,Memphis, Tennessee
New Orleans Pelicans,2002,New Orleans, Louisiana
San Antonio Spurs,1967,San Antonio, Texas
